Commodity,country,total_value,rank
LIVE ANIMALS.,NEPAL,24.7,1
LIVE ANIMALS.,U ARAB EMTS,16.29,2
LIVE ANIMALS.,BANGLADESH PR,0.91,3
LIVE ANIMALS.,OMAN,0.49,4
LIVE ANIMALS.,U S A,0.18,5
LIVE ANIMALS.,THAILAND,0.17,6
LIVE ANIMALS.,UGANDA,0.05,7
LIVE ANIMALS.,KUWAIT,0.04,8
LIVE ANIMALS.,KENYA,0.03,9
LIVE ANIMALS.,BHUTAN,0.03,9
LIVE ANIMALS.,MALDIVES,0.03,9
LIVE ANIMALS.,BURKINA FASO,0.01,12
LIVE ANIMALS.,SRI LANKA DSR,0.01,12
LIVE ANIMALS.,ITALY,"",14
LIVE ANIMALS.,TANZANIA REP,"",14
LIVE ANIMALS.,FRANCE,"",14
LIVE ANIMALS.,ZAMBIA,"",14
LIVE ANIMALS.,MYANMAR,"",14
