Commodity,country,total_value,rank
HEADGEAR AND PARTS THEREOF.,U S A,7.25,1
HEADGEAR AND PARTS THEREOF.,U K,4.27,2
HEADGEAR AND PARTS THEREOF.,U ARAB EMTS,3.92,3
HEADGEAR AND PARTS THEREOF.,NEPAL,2.86,4
HEADGEAR AND PARTS THEREOF.,GERMANY,2.81,5
HEADGEAR AND PARTS THEREOF.,BANGLADESH PR,1.88,6
HEADGEAR AND PARTS THEREOF.,KENYA,1.53,7
HEADGEAR AND PARTS THEREOF.,NIGERIA,1.2,8
HEADGEAR AND PARTS THEREOF.,FRANCE,1.13,9
HEADGEAR AND PARTS THEREOF.,POLAND,1.06,10
HEADGEAR AND PARTS THEREOF.,AUSTRALIA,0.87,11
HEADGEAR AND PARTS THEREOF.,PAKISTAN IR,0.82,12
HEADGEAR AND PARTS THEREOF.,CANADA,0.76,13
HEADGEAR AND PARTS THEREOF.,GUINEA,0.75,14
HEADGEAR AND PARTS THEREOF.,DENMARK,0.69,15
HEADGEAR AND PARTS THEREOF.,PHILIPPINES,0.66,16
HEADGEAR AND PARTS THEREOF.,UGANDA,0.65,17
HEADGEAR AND PARTS THEREOF.,ITALY,0.65,17
HEADGEAR AND PARTS THEREOF.,SAUDI ARAB,0.64,19
HEADGEAR AND PARTS THEREOF.,NETHERLAND,0.57,20
HEADGEAR AND PARTS THEREOF.,TANZANIA REP,0.48,21
HEADGEAR AND PARTS THEREOF.,QATAR,0.47,22
HEADGEAR AND PARTS THEREOF.,SRI LANKA DSR,0.47,22
HEADGEAR AND PARTS THEREOF.,SWEDEN,0.45,24
HEADGEAR AND PARTS THEREOF.,THAILAND,0.43,25
HEADGEAR AND PARTS THEREOF.,SOUTH AFRICA,0.38,26
HEADGEAR AND PARTS THEREOF.,SPAIN,0.38,26
HEADGEAR AND PARTS THEREOF.,BRAZIL,0.34,28
HEADGEAR AND PARTS THEREOF.,ISRAEL,0.33,29
HEADGEAR AND PARTS THEREOF.,PARAGUAY,0.33,29
HEADGEAR AND PARTS THEREOF.,GUATEMALA,0.32,31
HEADGEAR AND PARTS THEREOF.,ZAMBIA,0.31,32
HEADGEAR AND PARTS THEREOF.,MALAYSIA,0.29,33
HEADGEAR AND PARTS THEREOF.,KUWAIT,0.29,33
HEADGEAR AND PARTS THEREOF.,CHINA P RP,0.29,33
HEADGEAR AND PARTS THEREOF.,IRELAND,0.28,36
HEADGEAR AND PARTS THEREOF.,ARGENTINA,0.26,37
HEADGEAR AND PARTS THEREOF.,SWITZERLAND,0.26,37
HEADGEAR AND PARTS THEREOF.,BELGIUM,0.22,39
HEADGEAR AND PARTS THEREOF.,RUSSIA,0.22,39
HEADGEAR AND PARTS THEREOF.,CHILE,0.21,41
HEADGEAR AND PARTS THEREOF.,JAPAN,0.16,42
HEADGEAR AND PARTS THEREOF.,OMAN,0.15,43
HEADGEAR AND PARTS THEREOF.,CZECH REPUBLIC,0.14,44
HEADGEAR AND PARTS THEREOF.,SENEGAL,0.14,44
HEADGEAR AND PARTS THEREOF.,MALDIVES,0.14,44
HEADGEAR AND PARTS THEREOF.,PORTUGAL,0.13,47
HEADGEAR AND PARTS THEREOF.,NEW ZEALAND,0.12,48
HEADGEAR AND PARTS THEREOF.,SLOVAK REP,0.12,48
HEADGEAR AND PARTS THEREOF.,EL SALVADOR,0.11,50
HEADGEAR AND PARTS THEREOF.,MYANMAR,0.11,50
HEADGEAR AND PARTS THEREOF.,UKRAINE,0.1,52
HEADGEAR AND PARTS THEREOF.,TAIWAN,0.09,53
HEADGEAR AND PARTS THEREOF.,EQUTL GUINEA,0.09,53
HEADGEAR AND PARTS THEREOF.,TURKEY,0.09,53
HEADGEAR AND PARTS THEREOF.,MOZAMBIQUE,0.09,53
HEADGEAR AND PARTS THEREOF.,MEXICO,0.08,57
HEADGEAR AND PARTS THEREOF.,CONGO D. REP.,0.08,57
HEADGEAR AND PARTS THEREOF.,CAMBODIA,0.08,57
HEADGEAR AND PARTS THEREOF.,NORWAY,0.07,60
HEADGEAR AND PARTS THEREOF.,LIBERIA,0.06,61
HEADGEAR AND PARTS THEREOF.,LEBANON,0.06,61
HEADGEAR AND PARTS THEREOF.,PERU,0.06,61
HEADGEAR AND PARTS THEREOF.,SINGAPORE,0.06,61
HEADGEAR AND PARTS THEREOF.,ZIMBABWE,0.06,61
HEADGEAR AND PARTS THEREOF.,BAHARAIN IS,0.06,61
HEADGEAR AND PARTS THEREOF.,COTE D' IVOIRE,0.05,67
HEADGEAR AND PARTS THEREOF.,BHUTAN,0.05,67
HEADGEAR AND PARTS THEREOF.,BURKINA FASO,0.05,67
HEADGEAR AND PARTS THEREOF.,RWANDA,0.05,67
HEADGEAR AND PARTS THEREOF.,PANAMA REPUBLIC,0.05,67
HEADGEAR AND PARTS THEREOF.,MALAWI,0.05,67
HEADGEAR AND PARTS THEREOF.,HONG KONG,0.04,73
HEADGEAR AND PARTS THEREOF.,ETHIOPIA,0.04,73
HEADGEAR AND PARTS THEREOF.,BOTSWANA,0.04,73
HEADGEAR AND PARTS THEREOF.,JORDAN,0.04,73
HEADGEAR AND PARTS THEREOF.,URUGUAY,0.04,73
HEADGEAR AND PARTS THEREOF.,BENIN,0.04,73
HEADGEAR AND PARTS THEREOF.,EGYPT A RP,0.04,73
HEADGEAR AND PARTS THEREOF.,KOREA RP,0.04,73
HEADGEAR AND PARTS THEREOF.,NETHERLANDANTIL,0.04,73
HEADGEAR AND PARTS THEREOF.,GHANA,0.04,73
HEADGEAR AND PARTS THEREOF.,MAURITIUS,0.03,83
HEADGEAR AND PARTS THEREOF.,SUDAN,0.03,83
HEADGEAR AND PARTS THEREOF.,ECUADOR,0.03,83
HEADGEAR AND PARTS THEREOF.,MOROCCO,0.03,83
HEADGEAR AND PARTS THEREOF.,ARUBA,0.03,83
HEADGEAR AND PARTS THEREOF.,TOGO,0.02,88
HEADGEAR AND PARTS THEREOF.,SLOVENIA,0.02,88
HEADGEAR AND PARTS THEREOF.,SEYCHELLES,0.02,88
HEADGEAR AND PARTS THEREOF.,INDONESIA,0.02,88
HEADGEAR AND PARTS THEREOF.,AUSTRIA,0.02,88
HEADGEAR AND PARTS THEREOF.,MALI,0.02,88
HEADGEAR AND PARTS THEREOF.,YEMEN REPUBLC,0.02,88
HEADGEAR AND PARTS THEREOF.,NAMIBIA,0.01,95
HEADGEAR AND PARTS THEREOF.,FINLAND,0.01,95
HEADGEAR AND PARTS THEREOF.,SERBIA,0.01,95
HEADGEAR AND PARTS THEREOF.,CAYMAN IS,0.01,95
HEADGEAR AND PARTS THEREOF.,CONGO P REP,0.01,95
HEADGEAR AND PARTS THEREOF.,ANGOLA,0.01,95
HEADGEAR AND PARTS THEREOF.,IRAQ,0.01,95
HEADGEAR AND PARTS THEREOF.,BOLIVIA,0.01,95
HEADGEAR AND PARTS THEREOF.,LITHUANIA,0.01,95
HEADGEAR AND PARTS THEREOF.,CAMEROON,0.01,95
HEADGEAR AND PARTS THEREOF.,ROMANIA,0.01,95
HEADGEAR AND PARTS THEREOF.,CROATIA,0.01,95
HEADGEAR AND PARTS THEREOF.,FIJI IS,0.01,95
HEADGEAR AND PARTS THEREOF.,VIRGIN IS US,0.01,95
HEADGEAR AND PARTS THEREOF.,GREECE,0.01,95
HEADGEAR AND PARTS THEREOF.,ST KITT N A,0.01,95
HEADGEAR AND PARTS THEREOF.,GEORGIA,0.01,95
